ADESIVOS					
Código	Descrição do Serviço	Qtde	Tam	Prazo	Preço R$
AT050	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	50	330 x 480	1	R$ 275,00
AT052	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	5	330 x 480	1	R$ 29,00
ADV10B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	10	480 x 330	1	R$ 59,90
AT0100B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	1	330 x 480	1	R$ 6,90
AT050B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	50	480 x 330	1	R$ 295,00
AT052B	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE COM TINTA BRANCA - 4X0	5	480 x 330	1	R$ 32,50
VETM2	ADESIVO VINIL ELETROSTATICO - 120g - ELETROSTÁTICO - 4X0	1	1300 x 800	1	R$ 39,90
VA11	ADESIVO VINIL AUTOMOTIVO - 120g - VINIL AUTOMOTIVO - 4X0	1	1200 x 1000	1	R$ 48,50
VBKBM2	ADESIVO VINIL BLOCKOUT BRILHO - 120g - VINIL BLOCKOUT BRILHO - 4X0	1	1300 x 800	1	R$ 34,90
VBKFM2	ADESIVO VINIL BLOCKOUT FOSCO - 120g - VINIL BLOCKOUT FOSCO - 4X0	1	1300 x 800	1	R$ 34,90
VBBM2	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - VINIL BRANCO BRILHO - 4X0	1	1300 x 800	1	R$ 34,00
VBFM2	ADESIVO VINIL BRANCO FOSCO - 120g - VINIL BRANCO FOSCO - 4X0	1	1300 x 800	1	R$ 35,00
VMPM2	ADESIVO VINIL MICROPERFURADO - 400g - VINIL MICRO PERFURADO CITRU - 4X0	1	1300 x 800	2	R$ 60,00
VTM2	ADESIVO VINIL TRANSPARENTE - 400g - VINIL TRANSPARENTE - 4X0	1	1300 x 800	1	R$ 31,00
VTJM2	ADESIVO VINIL TRANSPARENTE JATEADO - 120g - VINIL TRANSPARENTE JATEADO - 4X0	1	1300 x 800	1	R$ 36,50
APP10	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 300X90MM - 4X0	10	300 x 90	1	R$ 29,00
APP100	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 300X90MM - 4X0	100	300 x 90	2	R$ 110,00
APP25	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 300X90MM - 4X0	25	300 x 90	1	R$ 65,00
APP50	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 300X90MM - 4X0	50	300 x 90	2	R$ 68,00
APP15	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 460X100MM - 4X0	15	460 x 100	1	R$ 50,00
APP150	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 460X100MM - 4X0	150	460 x 100	2	R$ 219,00
APP30	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 460X100MM - 4X0	30	460 x 100	1	R$ 75,00
APP5	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 460X100MM - 4X0	5	460 x 100	1	R$ 25,00
APP60	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 460X100MM - 4X0	60	460 x 100	2	R$ 120,00
APRA	ADESIVO VINIL AMARELO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRAR	ADESIVO VINIL AZUL ROYAL PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRB	ADESIVO VINIL BRANCO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRL	ADESIVO VINIL LARANJA PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRO	ADESIVO VINIL OURO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRP	ADESIVO VINIL PRATA PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRPC	ADESIVO VINIL PRETO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRT	ADESIVO VINIL TRANSP JATEADO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRVB	ADESIVO VINIL VERDE BANDEIRA PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
APRV	ADESIVO VINIL VERMELHO PLOTTER - 120g - VINIL BRILHO - 1X0	1	510 x 1000	3	R$ 39,90
AFT2515	ADESIVO VINIL FOTOLUMINESCENTE PLOTTER - 120g - VINIL FOTOLUMINESCENTE - 1X0	1	250 x 150	3	R$ 19,00
AFT2525	ADESIVO VINIL FOTOLUMINESCENTE PLOTTER - 120g - VINIL FOTOLUMINESCENTE - 1X0	1	250 x 250	3	R$ 29,00
AFT5020	ADESIVO VINIL FOTOLUMINESCENTE PLOTTER - 120g - VINIL FOTOLUMINESCENTE - 1X0	1	500 x 200	3	R$ 45,00
AFT5050	ADESIVO VINIL FOTOLUMINESCENTE PLOTTER - 120g - VINIL FOTOLUMINESCENTE - 1X0	1	500 x 500	3	R$ 110,00
AFTM2	ADESIVO VINIL FOTOLUMINESCENTE PLOTTER - 120g - VINIL FOTOLUMINESCENTE - 1X0	1	510 x 1000	3	R$ 450,00
ARPAM	ADESIVO VINIL REFLETIVO AMARELO PLOTTER - 120g - VINIL REFLETIVO - 1X0	1	510 x 1000	3	R$ 59,90
ARPA	ADESIVO VINIL REFLETIVO AZUL PLOTTER - 120g - VINIL REFLETIVO - 1X0	1	510 x 1000	3	R$ 59,90
ARPB	ADESIVO VINIL REFLETIVO BRANCO PLOTTER - 120g - VINIL REFLETIVO - 1X0	1	510 x 1000	3	R$ 59,90
ARPV	ADESIVO VINIL REFLETIVO VERDE PLOTTER - 120g - VINIL REFLETIVO - 1X0	1	510 x 1000	3	R$ 59,90
ARPVE	ADESIVO VINIL REFLETIVO VERMELHO PLOTTER - 120g - VINIL REFLETIVO - 1X0	1	510 x 1000	3	R$ 59,90
RP1313100	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	100	135 x 135	1	R$ 78,00
RP13131000	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	1000	135 x 135	1	R$ 590,00
RP131320	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	20	135 x 135	1	R$ 16,00
RP1313250	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	250	135 x 135	1	R$ 165,00
RP131350	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	50	135 x 135	1	R$ 35,00
RP1313500	ADESIVO PAPEL BRANCO A4 - 120g - 135X135MM - 4X0	500	135 x 135	1	R$ 320,00
RP510100	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	100	50 x 100	1	R$ 38,00
RP5101000	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	1000	50 x 100	2	R$ 280,00
RP51020	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	20	50 x 100	1	R$ 9,90
RP510250	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	250	50 x 100	1	R$ 85,00
RP51050	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	50	50 x 100	1	R$ 19,50
RP510500	ADESIVO PAPEL BRANCO A4 - 120g - 50X100MM - 4X0	500	50 x 100	2	R$ 160,00
RP910100	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	100	90 x 100	1	R$ 42,00
RP9101000	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	1000	90 x 100	2	R$ 290,00
RP91020	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	20	90 x 100	1	R$ 12,50
RP910250	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	250	90 x 100	1	R$ 95,00
RP91050	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	50	90 x 100	1	R$ 23,00
RP910500	ADESIVO PAPEL BRANCO A4 - 120g - 90X100MM - 4X0	500	90 x 100	2	R$ 170,00
RV1313100	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 135X135MM - 4X0	100	135 x 135	1	R$ 75,00
RV13131000	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 135X135MM - 4X0	1000	135 x 135	1	R$ 725,00
RV131320	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 135X135MM - 4X0	20	135 x 135	1	R$ 18,00
RV131350	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 135X135MM - 4X0	50	135 x 135	1	R$ 40,00
RV1313250	ADESIVO VINIL BRANCO BRILHO - 120g - 135X135MM - 4X0	250	135 x 135	1	R$ 185,00
RV1313500	ADESIVO VINIL BRANCO BRILHO - 120g - 135X135MM - 4X0	500	135 x 135	1	R$ 365,00
RV510100	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 50X100MM - 4X0	100	50 x 100	1	R$ 48,00
RV5101000	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 50X100MM - 4X0	1000	50 x 100	2	R$ 515,00
RV51020	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 50X100MM - 4X0	20	50 x 100	1	R$ 12,80
RV51050	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 50X100MM - 4X0	50	50 x 100	1	R$ 25,00
RV510250	ADESIVO VINIL BRANCO BRILHO - 120g - 50X100MM - 4X0	250	50 x 100	1	R$ 160,00
RV510500	ADESIVO VINIL BRANCO BRILHO - 120g - 50X100MM - 4X0	500	50 x 100	2	R$ 290,00
RV910100	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 90X100MM - 4X0	100	90 x 100	1	R$ 60,00
RV9101000	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 90X100MM - 4X0	1000	90 x 100	2	R$ 395,00
RV91020	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 90X100MM - 4X0	20	90 x 100	1	R$ 15,50
RV91050	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 90X100MM - 4X0	50	90 x 100	1	R$ 32,00
RV910250	ADESIVO VINIL BRANCO BRILHO - 120g - 90X100MM - 4X0	250	90 x 100	1	R$ 110,00
RV910500	ADESIVO VINIL BRANCO BRILHO - 120g - 90X100MM - 4X0	500	90 x 100	2	R$ 215,00
RMB1313100	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	100	135 x 135	1	R$ 95,00
RMB13131000	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	1000	135 x 135	1	R$ 725,00
RMB131320	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	20	135 x 135	1	R$ 19,00
RMB1313250	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	250	135 x 135	1	R$ 185,00
RMB131350	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	50	135 x 135	1	R$ 40,00
RMB1313500	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	500	135 x 135	1	R$ 365,00
RMB510100	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	100	50 x 100	1	R$ 56,00
RMB5101000	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	1000	50 x 100	2	R$ 498,00
RMB51020	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	20	50 x 100	1	R$ 15,00
RMB510250	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	250	50 x 100	1	R$ 140,00
RMB51050	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	50	50 x 100	1	R$ 29,00
RMB510500	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	500	50 x 100	2	R$ 270,00
RMB9101000	ADESIVO VINIL BRANCO BOBINA M/2 - 120g - 90X100MM - 4X0	1000	90 x 100	2	R$ 515,00
RMB910250	ADESIVO VINIL BRANCO BRILHO - 120g - 90X100MM - 4X0	250	90 x 100	1	R$ 160,00
RMB910500	ADESIVO VINIL BRANCO BRILHO - 120g - 90X100MM - 4X0	500	90 x 100	2	R$ 290,00
RMB910100	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	100	90 x 100	1	R$ 75,00
RMB91020	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	20	90 x 100	1	R$ 18,00
RMB91050	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	50	90 x 100	1	R$ 38,00
RM1313100	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	100	135 x 135	1	R$ 78,00
RM13131000	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	1000	135 x 135	1	R$ 699,00
RM131320	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	20	135 x 135	1	R$ 19,00
RM1313250	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	250	135 x 135	1	R$ 188,00
RM131350	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	50	135 x 135	1	R$ 42,00
RM1313500	ADESIVO VINIL METALIZADO - 120g - 135X135MM - 4X0	500	135 x 135	1	R$ 368,00
RM510100	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	100	50 x 100	1	R$ 50,00
RM5101000	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	1000	50 x 100	2	R$ 450,00
RM51020	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	20	50 x 100	1	R$ 13,50
RM510250	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	250	50 x 100	1	R$ 120,00
RM51050	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	50	50 x 100	1	R$ 26,00
RM510500	ADESIVO VINIL METALIZADO - 120g - 50X100MM - 4X0	500	50 x 100	2	R$ 230,00
RM910100	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	100	90 x 100	1	R$ 65,00
RM9101000	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	1000	90 x 100	2	R$ 470,00
RM91020	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	20	90 x 100	1	R$ 16,50
RM910250	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	250	90 x 100	1	R$ 125,00
RM91050	ADESIVO VINIL METALIZADO - 120g - 90X100MM - 4X0	50	90 x 100	1	R$ 34,00
